payment_id,amount_inr,payment_method,card_network,is_promo_applied,account_age_days,past_order_count,past_refund_ratio,orders_in_last_30mins,device_account_count,ip_to_delivery_dist_km,is_payment_fraud,is_refund_abuse,is_high_risk
pay_Zom2867825,252,upi,none,0,49,4,0.134,0,2,0.72,0,1,1
pay_Zom1419610,2059,netbanking,none,0,11,0,0.053,0,1,6.56,0,0,0
pay_Zom5614226,252,card,visa,0,116,13,0.031,0,1,0.75,0,0,0
pay_Zom5108603,252,netbanking,none,1,51,7,0.177,0,1,3.96,0,0,0
pay_Zom4744854,252,upi,none,0,119,16,0.58,1,1,1.61,0,0,0
pay_Zom3341057,252,netbanking,none,0,0,0,0.011,0,1,4.93,0,0,0
pay_Zom2719583,252,upi,none,0,482,84,0.062,0,1,0.21,0,0,0
pay_Zom2458591,252,upi,none,0,22,3,0.035,0,1,1.01,0,0,0
pay_Zom8078673,2059,card,visa,1,129,8,0.082,0,1,2.23,0,0,0
pay_Zom1533224,252,card,rupay,1,150,8,0.027,0,1,4.39,0,0,0
pay_Zom1499914,2059,upi,none,0,22,2,0.224,0,1,3.34,0,0,0
pay_Zom2571945,3360,upi,none,0,14,2,0.079,0,1,10.78,0,1,1
pay_Zom4668136,252,upi,none,0,19,1,0.186,1,1,2.87,0,0,0
pay_Zom4903402,3360,upi,none,1,34,1,0.129,0,1,1.26,0,1,1
pay_Zom9478454,2059,upi,none,0,22,3,0.065,0,1,1.99,0,0,0
pay_Zom1445199,2059,upi,none,0,134,10,0.067,1,1,0.27,0,0,0
pay_Zom4335942,252,upi,none,0,65,8,0.005,1,1,0.44,0,0,0
pay_Zom8038374,252,netbanking,none,0,92,13,0.067,0,1,2.55,0,0,0
pay_Zom4698379,252,upi,none,0,5,0,0.223,0,1,13.01,0,0,0
pay_Zom8536477,252,card,amex,0,237,35,0.154,1,6,0.98,0,0,0
pay_Zom5667265,252,netbanking,none,0,22,3,0.157,0,1,5.26,0,0,0
pay_Zom1109031,3360,upi,none,0,53,6,0.062,0,1,1.6,0,0,0
pay_Zom3678638,252,upi,none,1,8,0,0.114,0,1,0.11,0,0,0
pay_Zom8090293,252,upi,none,0,17,2,0.109,0,1,0.63,0,0,0
